Région,Dep,Département,SIREN,EPCI ou Secteur Ad Hoc,Secteur,Commentaires,Coll MEV,Coll Réservations,Coll Annulés,Coll Chgt dest,Coll Encours,Coll Prix Réservations,Ind MEV,Ind Réservations,Ind Annulés,Ind Chgt dest,Ind Encours,Ind Prix Réservations,Coll MEV,Coll Réservations,Coll Annulés,Coll Chgt dest,Coll Encours,Coll Prix Réservations,Ind MEV,Ind Réservations,Ind Annulés,Ind Chgt dest,Ind Encours,Ind Prix Réservations,Coll MEV,Coll Réservations,Coll Annulés,Coll Chgt dest,Coll Encours,Coll Prix Réservations,Ind MEV,Ind Réservations,Ind Annulés,Ind Chgt dest,Ind Encours,Ind Prix Réservations,Coll MEV,Coll Réservations,Coll Annulés,Coll Chgt dest,Coll Encours,Coll Prix Réservations,Ind MEV,Ind Réservations,Ind Annulés,Ind Chgt dest,Ind Encours,Ind Prix Réservations,Coll MEV,Coll Réservations,Coll Annulés,Coll Chgt dest,Coll Encours,Coll Prix Réservations,Ind MEV,Ind Réservations,Ind Annulés,Ind Chgt dest,Ind Encours,Ind Prix Réservations,Coll MEV,Coll Réservations,Coll Annulés,Coll Chgt dest,Coll Encours,Coll Prix Réservations,Ind MEV,Ind Réservations,Ind Annulés,Ind Chgt dest,Ind Encours,Ind Prix Réservations,Total ventes,ventes invest,% invest,Coll MEV,Coll Réservations,Coll Annulés,Coll Chgt dest,Coll Encours,Coll Prix Réservations,Ind MEV,Ind Réservations,Ind Annulés,Ind Chgt dest,Ind Encours,Ind Prix Réservations,Total ventes,ventes invest,% invest,Coll MEV,Coll Réservations,Coll Annulés,Coll Chgt dest,Coll Encours,Coll Prix Réservations,Ind MEV,Ind Réservations,Ind Annulés,Ind Chgt dest,Ind Encours,Ind Prix Réservations,Total ventes,ventes invest,% invest,Coll MEV,Coll Réservations,Coll Annulés,Coll Chgt dest,Coll Encours,Coll Prix Réservations,Ind MEV,Ind Réservations,Ind Annulés,Ind Chgt dest,Ind Encours,Ind Prix Réservations,Total ventes,ventes invest,% invest,Coll MEV,Coll Réservations,Coll Annulés,Coll Chgt dest,Coll Encours,Coll Prix Réservations,Ind MEV,Ind Réservations,Ind Annulés,Ind Chgt dest,Ind Encours,Ind Prix Réservations,Total ventes,ventes invest,% invest,Coll MEV,Coll Réservations,Coll Annulés,Coll Chgt dest,Coll Encours,Coll Prix Réservations,Ind MEV,Ind Réservations,Ind Annulés,Ind Chgt dest,Ind Encours,Ind Prix Réservations,Total ventes,ventes invest,% invest,Coll MEV,Coll Réservations,Coll Annulés,Coll Chgt dest,Coll Encours,Coll Prix Réservations,Ind MEV,Ind Réservations,Ind Annulés,Ind Chgt dest,Ind Encours,Ind Prix Réservations,Commentaires Invest- Fiche SNI,
RHONE ALPES,74,HAUTE SAVOIE,200000172,CC Faucigny-Glières,EPCI 2017,secteur observé donc pas de retravail sur les séries historiques,129,90,,,43,2706.75,36,110,,,39,,154,141,13,,69,2560.42807645021,11,37,0,,13,,104,66,10,,117,2716.08096085409,7,13,2,-6,3,251923.076923077,103,90,11,,141,2886.06209894432,8,1,0,,10,,126,165,5,,107,2506.42457673403,0,8,0,,2,,48,112,22,,65,3083.47759282971,14,13,0,,3,,,,,60,79,0,-11,35,2863.03298153034,0,0,7,0,10,,,,,219,119,16,-20,131,3096.91980593607,7,5,0,0,12,189000,,,,69,125,31,4,110,3118.95669402774,43,30,1,0,26,271306.666666667,,,,36,101,13,-10,48,3188.66537358745,43,11,0,0,58,306690.909090909,,,,151,62,3,-4,136,3245.68610816543,28,25,3,1,65,270760.04,,,,111,105,15,-23,141,3244.77661647476,0,26,1,-21,12,276173.076923077,,secteur observé donc pas de retravail sur les séries historiques
PAYS DE LA LOIRE,44,LOIRE ATLANTIQUE,200000438,CC du Pays de Pontchâteau St Gildas des Bois,EPCI 2017,0,26,21,,,25,2082.29623824451,0,10,,,0,,32,53,0,,4,2318.4302283436,24,10,1,,15,,20,12,0,,12,,8,9,-6,,8,210611.111111111,34,19,-3,,24,,0,3,0,,5,,11,22,-5,,8,2441.73441734417,0,3,0,,2,,0,8,0,,0,,0,2,0,,0,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,
CHAMPAGNE ARDENNE,10,AUBE,200000545,CC des Portes de Romilly Sur Seine,EPCI 2017,0,0,nd,,,nd,,0,,,,,,0,0,,,0,,0,,,,,,0,0,,,0,,0,,,,,,42,22,,,20,,0,,,,,,0,9,-4,,7,,0,,,,,,0,4,-2,,1,,0,,,,,,,,,0,1,0,0,0,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,
PROVENCE ALPES COTE D'AZUR,84,VAUCLUSE,200000628,CC Rhône Lez Provence,EPCI 2017,0,0,0,,,0,,0,,,,,,0,,,,,,16,9,0,,7,,18,18,0,,0,,37,4,0,,40,,16,6,0,,10,,37,2,-26,,49,,0,10,0,,0,,0,31,0,,18,,0,,,,,,0,6,0,,12,,,,,15,5,0,0,10,,0,12,3,0,3,,,,,0,7,0,0,3,,8,1,0,0,10,,,,,0,4,2,0,1,,46,0,0,-8,48,,,,,0,0,0,0,1,,0,12,1,0,37,,,,,0,0,0,0,1,,0,14,0,0,23,,,,,0,0,0,0,1,0,0,10,0,0,13,0,,
CENTRE,41,LOIR ET CHER,200000800,CC Coeur de Sologne,EPCI 2017,0,0,0,,,,,0,,,,,,42,29,0,,13,,11,6,0,0,5,,26,16,0,0,23,,16,14,0,,7,,0,3,2,0,22,,0,1,0,0,6,,0,8,0,0,14,,0,3,0,0,3,,0,14,0,0,0,,0,1,0,0,2,,,,,0,,,,,,0,0,0,-2,0,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,
BOURGOGNE,21,COTE D'OR,200000925,CC de la Plaine Dijonnaise,EPCI 2017,0,40,4,,,38,,0,,,,,,0,22,0,,16,,10,4,0,,6,,5,16,0,,5,,0,6,0,,0,,0,5,0,,0,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,14,11,0,,3,,,,,0,,,,,,0,3,0,0,0,,,,,3,3,0,0,0,,0,,,,,,,,,0,,,,,,4,0,0,0,4,,,,,0,,,,,,0,0,0,0,4,,,,,15,3,0,0,12,,15,0,0,0,19,,,,,12,5,0,-12,7,nd,0,3,0,-15,1,nd,,
CENTRE,18,CHER,200000933,CC Sauldre et Sologne,EPCI 2017,0,59,0,,,13,,0,,,,,,0,13,0,,0,,0,,,,,,0,,,,,,34,0,0,,34,,0,,,,,,0,0,0,0,34,,0,,,,,,0,0,0,-34,0,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,
PROVENCE ALPES COTE D'AZUR,83,VAR,200004802,CC du Pays de Fayence,EPCI 2017,secteur observé donc pas de retravail sur les séries historiques,18,nd,,,0,,58,0,,,0,,0,0,0,,0,,15,nd,,,nd,,90,nd,,,nd,,13,26,0,,nd,4321.04144656644,0,nd,,,nd,,27,18,0,,23,5039.97923156802,197,nd,,,236,,8,nd,0,,nd,,46,38 mini,0,,204,4465.59482758621,13,nd,0,,nd,,,,,68,nd,nd,nd,nd,nd,6,nd,nd,nd,nd,nd,,,,0,nd,nd,nd,nd,nd,24,20,0,-4,11,274050,,,,9,25,0,0,16,3442.64161525519,0,2,1,-1,9,256000,,,,0,,nd,nd,nd,,0,5,0,-4,0,257200,,,,0,,nd,nd,nd,,5,5,0,0,0,,,,,0,1,0,0,3,nd,13,9,0,0,4,0,,secteur observé donc pas de retravail sur les séries historiques
CENTRE,45,,200005932,CC des Portes de Sologne,EPCI 2017,0,0,0,,,0,,0,,,,,,0,,,,,,10,10,0,,0,,0,,,,,,0,,,,,,0,,,,,,8,8,0,,0,,0,,,,,,22,3,0,,19,,8,8,0,0,0,,0,0,0,0,19,,,,,0,,,,,,0,0,0,-11,8,,,,,0,,,,,,0,0,0,-8,0,,,,,15,0,0,0,15,,0,,,,,,,,,0,0,0,0,15,,0,,,,,,,,,0,0,0,0,15,,0,,,,,,,,,0,0,0,-15,0,0,0,0,0,0,0,0,,
LORRAINE,88,VOSGES,200005957,CC de la Région de Rambervillers,EPCI 2017,0,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,
BOURGOGNE,21/71,,200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",EPCI 2017,0,43,60,,,45,2134.4769874477,0,5,,,0,,56,31,1,,71,2040.09717314488,49,29,,,20,,132,142,-14,,47,2198.75097929491,0,0,0,,20,,33,46,9,,43,2256.27627627628,0,5,-13,,2,,0,14,0,,29,2360.88709677419,0,2,0,,0,,12,6,4,,39,,0,,,,,,,,,0,5,0,0,34,,11,0,7,0,18,,,,,0,13,0,-21,0,,0,1,1,-18,0,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,
CHAMPAGNE ARDENNE,10,AUBE,200006716,CC du Nogentais,EPCI 2017,0,16,19,,,nd,,0,,,,,,0,0,,,0,,0,,,,,,0,0,,,0,,0,,,,,,0,0,,,0,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,
LANGUEDOC ROUSSILLON,48,,200006930,CC du Haut Allier,EPCI 2017,0,0,0,,,0,,0,,,,,,0,,,,,,0,,,,,,10,4,0,,6,,0,,,,,,0,0,0,,6,,0,,,,,,4,2,0,,8,,0,,,,,,0,2,0,,6,,6,2,0,,4,,,,,0,2,0,0,4,,0,0,0,-1,3,,,,,0,3,0,0,1,1925,0,0,0,0,3,,,,,0,1,0,0,0,,0,0,0,0,3,,,,,0,,,,,,0,0,0,0,3,,,,,0,,,,,,0,0,0,0,3,,,,,0,0,0,0,0,0,0,0,0,0,3,0,,
CENTRE,28,,200006971,CC du Perche,EPCI 2017,0,65,0,,,31,,0,,,,,,11,22,0,,16,,0,,,,,,0,11,0,,5,,0,,,,,,0,0,0,,5,,0,,,,,,0,3,0,,2,,0,,,,,,0,2,0,,0,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,
CENTRE,36,INDRE,200007052,CC de la Marche Berrichonne,EPCI 2017,0,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,
CENTRE,18,CHER,200007177,CC Pays de Nérondes,EPCI 2017,0,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,
FRANCHE COMTE,39,,200010650,CA du Grand Dole,EPCI 2017,0,37,31,,,24,1811.31716971796,6,0,,,0,,105,31,0,,98,2073.62831439394,0,,,,,,55,43,4,,114,2223.12444444444,0,,,,,,11,70,-3,,52,2602.79827798278,0,,,,,,0,9,1,,44,2115,0,0,,,0,,7,4,0,,47,2153.88281979458,0,0,,,0,,,,,5,15,2,-10,29,2192.76563958917,0,,,,,,,,,0,3,0,-26,0,2593.96984924623,28,6,0,0,22,,,,,17,0,0,0,17,,10,10,0,-5,17,,,,,0,0,0,0,17,,0,10,0,0,7,,,,,34,5,0,0,46,,0,6,0,0,1,,,,,0,22,0,0,24,2479.62747380675,0,1,0,0,0,nd,,
